genres,app_name,release_date,specs,price,early_access,sentiment,metascore,año,specs_encoded,genres_encoded,sentiment_code
Action,Half-Life,1998-11-08,Single player,9.99,False,Overwhelmingly Positive,96,1998,32,0,8.0
Action,Half-Life,1998-11-08, Multi player,9.99,False,Overwhelmingly Positive,96,1998,13,0,8.0
Action,Half-Life,1998-11-08, Valve Anti Cheat enabled,9.99,False,Overwhelmingly Positive,96,1998,25,0,8.0
Strategy,Disciples II: Gallean's Return,2006-07-06,Single player,6.99,False,Mostly Positive,84,2006,32,8,6.0
Strategy,Disciples II: Gallean's Return,2006-07-06, Multi player,6.99,False,Mostly Positive,84,2006,13,8,6.0
Strategy,Disciples II: Gallean's Return,2006-07-06, Co op,6.99,False,Mostly Positive,84,2006,1,8,6.0
Strategy,Disciples II: Rise of the Elves,2006-07-06,Single player,6.99,False,Very Positive,80,2006,32,8,7.0
Strategy,Disciples II: Rise of the Elves,2006-07-06, Multi player,6.99,False,Very Positive,80,2006,13,8,7.0
Strategy,Disciples II: Rise of the Elves,2006-07-06, Co op,6.99,False,Very Positive,80,2006,1,8,7.0
Action,The Ship: Murder Party,2006-07-11,Single player,9.99,False,Very Positive,76,2006,32,0,7.0
Action,The Ship: Murder Party,2006-07-11, Multi player,9.99,False,Very Positive,76,2006,13,0,7.0
Action,The Ship: Murder Party,2006-07-11, Steam Trading Cards,9.99,False,Very Positive,76,2006,22,0,7.0
Action,The Ship: Murder Party,2006-07-11, Valve Anti Cheat enabled,9.99,False,Very Positive,76,2006,25,0,7.0
Indie,The Ship: Murder Party,2006-07-11,Single player,9.99,False,Very Positive,76,2006,32,3,7.0
Indie,The Ship: Murder Party,2006-07-11, Multi player,9.99,False,Very Positive,76,2006,13,3,7.0
Indie,The Ship: Murder Party,2006-07-11, Steam Trading Cards,9.99,False,Very Positive,76,2006,22,3,7.0
Indie,The Ship: Murder Party,2006-07-11, Valve Anti Cheat enabled,9.99,False,Very Positive,76,2006,25,3,7.0
RPG,The Ship: Murder Party,2006-07-11,Single player,9.99,False,Very Positive,76,2006,32,4,7.0
RPG,The Ship: Murder Party,2006-07-11, Multi player,9.99,False,Very Positive,76,2006,13,4,7.0
RPG,The Ship: Murder Party,2006-07-11, Steam Trading Cards,9.99,False,Very Positive,76,2006,22,4,7.0
RPG,The Ship: Murder Party,2006-07-11, Valve Anti Cheat enabled,9.99,False,Very Positive,76,2006,25,4,7.0
Action,Advent Rising,2005-08-09,Single player,9.99,False,Mostly Positive,70,2005,32,0,6.0
Action,Advent Rising,2005-08-09, Steam Trading Cards,9.99,False,Mostly Positive,70,2005,22,0,6.0
Indie,DEFCON,2006-09-29,Single player,9.99,False,Very Positive,84,2006,32,3,7.0
Indie,DEFCON,2006-09-29, Multi player,9.99,False,Very Positive,84,2006,13,3,7.0
Strategy,DEFCON,2006-09-29,Single player,9.99,False,Very Positive,84,2006,32,8,7.0
Strategy,DEFCON,2006-09-29, Multi player,9.99,False,Very Positive,84,2006,13,8,7.0
Casual,Gumboy - Crazy Adventures™,2006-12-19,Single player,4.99,False,Mixed,69,2006,32,2,4.0
Indie,Gumboy - Crazy Adventures™,2006-12-19,Single player,4.99,False,Mixed,69,2006,32,3,4.0
Strategy,Ghost Master®,2003-08-23,Single player,4.99,False,Very Positive,81,2003,32,8,7.0
Adventure,Dreamfall: The Longest Journey,2006-04-17,Single player,19.99,False,Very Positive,75,2006,32,1,7.0
RPG,Dreamfall: The Longest Journey,2006-04-17,Single player,19.99,False,Very Positive,75,2006,32,4,7.0
Racing,FlatOut 2™,2006-08-01,Single player,9.99,False,Very Positive,76,2006,32,5,7.0
Racing,FlatOut,2005-07-12,Single player,7.49,False,Very Positive,72,2005,32,5,7.0
Racing,FlatOut,2005-07-12, Multi player,7.49,False,Very Positive,72,2005,13,5,7.0
Action,Lost Planet™: Extreme Condition,2007-06-26,Single player,14.99,False,Mostly Positive,66,2007,32,0,6.0
Action,Lost Planet™: Extreme Condition,2007-06-26, Multi player,14.99,False,Mostly Positive,66,2007,13,0,6.0
Action,Lost Planet™: Extreme Condition,2007-06-26, Partial Controller Support,14.99,False,Mostly Positive,66,2007,16,0,6.0
Action,Lost Planet™: Extreme Condition,2007-06-26, Valve Anti Cheat enabled,14.99,False,Mostly Positive,66,2007,25,0,6.0
Adventure,Lost Planet™: Extreme Condition,2007-06-26,Single player,14.99,False,Mostly Positive,66,2007,32,1,6.0
Adventure,Lost Planet™: Extreme Condition,2007-06-26, Multi player,14.99,False,Mostly Positive,66,2007,13,1,6.0
Adventure,Lost Planet™: Extreme Condition,2007-06-26, Partial Controller Support,14.99,False,Mostly Positive,66,2007,16,1,6.0
Adventure,Lost Planet™: Extreme Condition,2007-06-26, Valve Anti Cheat enabled,14.99,False,Mostly Positive,66,2007,25,1,6.0
Strategy,CivCity: Rome,2006-07-24,Single player,9.99,False,Mostly Positive,67,2006,32,8,6.0
RPG,Arx Fatalis,2002-11-12,Single player,4.99,False,Very Positive,77,2002,32,4,7.0
Action,The Longest Journey,2000-11-17,Single player,9.99,False,Very Positive,91,2000,32,0,7.0
Adventure,The Longest Journey,2000-11-17,Single player,9.99,False,Very Positive,91,2000,32,1,7.0
RPG,The Longest Journey,2000-11-17,Single player,9.99,False,Very Positive,91,2000,32,4,7.0
Strategy,Civilization IV®: Warlords,2006-07-24,Single player,4.99,False,Very Positive,84,2006,32,8,7.0
Strategy,Railroad Tycoon 3,2003-10-23,Single player,9.99,False,Mostly Positive,80,2003,32,8,6.0
Strategy,Railroad Tycoon 3,2003-10-23, Multi player,9.99,False,Mostly Positive,80,2003,13,8,6.0
Strategy,Sid Meier's Railroads!,2006-10-16,Single player,9.99,False,Mixed,77,2006,32,8,4.0
Strategy,Sid Meier's Railroads!,2006-10-16, Multi player,9.99,False,Mixed,77,2006,13,8,4.0
Strategy,Railroad Tycoon II Platinum,1998-10-31,Single player,4.99,False,Very Positive,89,1998,32,8,7.0
Action,Tomb Raider: Anniversary,2007-06-05,Single player,8.99,False,Very Positive,83,2007,32,0,7.0
Action,Tomb Raider: Anniversary,2007-06-05, Partial Controller Support,8.99,False,Very Positive,83,2007,16,0,7.0
Adventure,Tomb Raider: Anniversary,2007-06-05,Single player,8.99,False,Very Positive,83,2007,32,1,7.0
Adventure,Tomb Raider: Anniversary,2007-06-05, Partial Controller Support,8.99,False,Very Positive,83,2007,16,1,7.0
Action,Devil May Cry® 3 Special Edition,2006-05-23,Single player,19.99,False,Mixed,66,2006,32,0,4.0
Action,Devil May Cry® 3 Special Edition,2006-05-23, Partial Controller Support,19.99,False,Mixed,66,2006,16,0,4.0
Action,DOOM II,1994-05-05,Single player,4.99,False,Very Positive,83,1994,32,0,7.0
Action,DOOM II,1994-05-05, Multi player,4.99,False,Very Positive,83,1994,13,0,7.0
Action,DOOM II,1994-05-05, Steam Cloud,4.99,False,Very Positive,83,1994,20,0,7.0
Action,Return to Castle Wolfenstein,2001-11-20,Single player,4.99,False,Very Positive,88,2001,32,0,7.0
Action,Return to Castle Wolfenstein,2001-11-20, Multi player,4.99,False,Very Positive,88,2001,13,0,7.0
Action,Return to Castle Wolfenstein,2001-11-20, Steam Cloud,4.99,False,Very Positive,88,2001,20,0,7.0
Action,BloodRayne,2003-09-09,Single player,9.99,False,Mostly Positive,65,2003,32,0,6.0
Action,BloodRayne,2003-09-09, Steam Trading Cards,9.99,False,Mostly Positive,65,2003,22,0,6.0
Action,QUAKE,2007-05-31,Single player,4.99,False,Overwhelmingly Positive,94,2007,32,0,8.0
Action,QUAKE,2007-05-31, Multi player,4.99,False,Overwhelmingly Positive,94,2007,13,0,8.0
Action,QUAKE,2007-05-31, Co op,4.99,False,Overwhelmingly Positive,94,2007,1,0,8.0
Action,QUAKE,2007-05-31, Steam Cloud,4.99,False,Overwhelmingly Positive,94,2007,20,0,8.0
Strategy,Genesis Rising,2007-03-20,Single player,4.99,False,Mostly Negative,57,2007,32,8,3.0
Strategy,Genesis Rising,2007-03-20, Multi player,4.99,False,Mostly Negative,57,2007,13,8,3.0
Action,BioShock™,2007-08-21,Single player,19.99,False,Very Positive,96,2007,32,0,7.0
Action,BioShock™,2007-08-21, Partial Controller Support,19.99,False,Very Positive,96,2007,16,0,7.0
RPG,BioShock™,2007-08-21,Single player,19.99,False,Very Positive,96,2007,32,4,7.0
RPG,BioShock™,2007-08-21, Partial Controller Support,19.99,False,Very Positive,96,2007,16,4,7.0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,Single player,12.99,False,Overwhelmingly Positive,86,2006,32,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01, Multi player,12.99,False,Overwhelmingly Positive,86,2006,13,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01, Steam Trading Cards,12.99,False,Overwhelmingly Positive,86,2006,22,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01, Steam Cloud,12.99,False,Overwhelmingly Positive,86,2006,20,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,Single player,12.99,False,Overwhelmingly Positive,87,2006,32,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09, Multi player,12.99,False,Overwhelmingly Positive,87,2006,13,8,8.0
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09, Steam Cloud,12.99,False,Overwhelmingly Positive,87,2006,20,8,8.0
